Column4,Column5,Column7,Column8,Column10
1,3,1,1,8
1,3,1,2,4
1,3,1,2,3
1,2,1,1,8
1,1,1,2,8
1,2,1,2,3
1,3,1,2,2
1,3,1,2,3
1,2,1,2,3
1,3,1,2,2
1,2,1,2,3
1,3,1,2,2
1,2,1,2,2
2,2,1,2,3
1,3,1,2,2
1,2,1,2,2
1,3,1,2,4
1,3,1,2,8
1,2,1,2,2
1,2,2,2,2
1,2,1,2,8
1,3,1,2,2
2,2,2,2,2
1,3,1,2,3
1,2,2,2,2
1,3,1,2,2
2,3,1,2,4
1,3,1,2,2
1,3,1,2,4
1,3,1,2,2
1,1,2,2,2
1,1,1,2,2
2,1,2,2,3
1,3,1,2,2
1,3,2,2,4
1,2,1,2,2
1,3,1,2,3
1,3,1,2,5
1,2,1,1,8
1,2,2,2,2
1,3,1,2,2
1,2,1,2,2
2,3,2,2,4
2,2,1,2,5
1,3,2,2,4
1,3,1,2,2
1,2,1,2,8
1,2,1,2,3
2,3,2,2,4
2,3,2,2,5
1,3,1,2,3
2,3,2,2,5
1,3,1,2,3
2,3,2,2,4
2,3,2,2,5
1,3,1,1,8
1,3,1,2,4
1,3,1,2,4
1,3,2,2,4
1,2,1,2,2
2,2,2,2,4
2,3,2,2,5
1,1,1,1,8
2,3,1,2,4
2,3,1,2,4
1,3,1,2,4
1,3,2,2,4
1,3,1,2,4
1,2,2,2,4
2,3,2,2,5
1,3,1,1,8
1,2,2,2,4
1,3,1,2,3
1,2,1,2,3
1,3,1,2,2
1,3,1,2,2
1,2,2,2,4
1,3,1,2,4
1,2,2,2,4
2,3,2,2,6
1,3,2,2,4
1,2,1,2,3
1,3,1,2,3
1,3,1,2,2
1,2,2,2,4
1,2,2,2,8
1,3,2,2,4
2,2,2,2,6
2,2,2,2,4
1,2,1,2,2
1,3,1,2,3
1,3,1,2,2
1,3,1,2,2
1,2,1,2,4
1,2,2,2,8
1,2,2,2,8
1,2,2,2,3
1,2,2,2,6
1,2,2,2,4
1,2,1,2,3
2,3,1,2,4
1,1,1,2,2
2,3,1,2,5
1,2,2,2,8
1,3,2,2,3
2,3,2,2,6
1,2,2,2,4
2,3,2,2,4
1,3,1,2,2
2,3,2,2,5
2,3,2,2,4
2,2,2,2,6
1,1,2,2,8
2,2,2,2,4
1,2,1,2,2
2,2,2,2,5
1,2,1,1,8
2,2,2,2,6
1,2,2,2,8
1,2,2,2,5
1,2,2,2,5
1,3,1,2,2
1,3,1,2,3
1,2,2,2,8
2,2,2,2,6
1,2,2,2,5
1,2,2,2,5
1,3,1,2,5
1,2,1,1,8
1,1,2,2,5
2,3,2,2,5
2,2,1,2,3
1,2,1,2,5
1,2,2,2,5
1,2,1,2,8
1,3,1,2,5
1,2,1,1,8
1,3,1,2,2
1,3,1,2,3
1,2,2,2,5
2,3,1,2,3
1,3,1,2,5
1,3,1,1,8
1,3,1,2,2
1,2,1,1,8
1,3,1,2,2
1,2,1,2,3
1,2,1,2,4
1,2,2,2,5
2,2,1,2,3
1,3,1,2,5
1,3,1,2,3
1,1,1,2,2
1,2,1,1,8
1,3,1,2,2
2,3,1,2,5
1,3,1,2,4
1,1,2,2,8
1,2,1,2,3
1,2,1,2,5
1,2,1,2,3
2,2,1,1,8
1,2,1,2,2
1,3,2,2,5
1,3,2,2,5
1,3,1,2,3
1,1,2,2,8
1,2,1,2,8
1,2,1,2,5
1,3,1,2,3
1,2,1,1,8
1,3,2,2,5
1,3,2,2,5
1,3,1,1,8
1,1,1,2,8
2,2,1,2,4
2,1,1,2,3
1,1,1,1,8
1,3,1,2,2
2,1,2,2,5
1,1,2,2,5
1,3,1,2,8
1,2,1,1,8
1,2,1,1,8
1,3,1,2,8
1,3,1,2,8
1,3,1,2,8
1,3,1,1,8
2,3,2,2,6
2,2,2,2,5
1,3,1,2,4
1,3,1,1,8
1,3,1,2,3
1,2,1,2,8
1,2,1,2,8
1,3,1,2,3
1,1,1,2,2
2,3,2,2,6
2,2,2,2,5
1,3,1,2,4
1,3,1,1,8
1,3,1,2,3
1,3,1,2,4
1,2,1,2,8
2,3,1,2,3
1,2,1,2,3
2,2,2,2,6
2,2,2,2,5
1,3,1,2,3
1,3,1,2,4
1,3,1,2,4
1,3,1,2,4
1,3,1,2,3
1,1,1,2,8
2,2,1,2,8
1,2,2,2,6
1,3,1,2,3
1,3,1,2,4
2,2,2,2,3
2,3,1,2,4
1,2,1,2,3
1,2,1,2,8
1,3,1,2,8
2,2,2,2,6
2,2,1,2,4
1,3,1,2,4
2,2,2,2,4
1,2,1,2,4
1,3,1,2,4
1,2,1,2,8
1,2,1,2,8
2,3,2,2,6
1,2,2,2,4
1,3,2,2,4
1,2,2,2,2
1,3,1,2,4
2,3,1,2,4
1,3,1,2,3
1,3,1,2,2
1,2,1,2,2
1,3,1,2,8
1,2,1,2,8
2,2,2,2,6
1,3,2,2,4
1,2,2,2,4
1,1,2,2,8
1,2,1,2,4
2,3,1,2,4
1,2,1,2,4
1,2,1,2,2
1,2,1,2,3
1,3,1,2,2
1,2,1,1,8
1,2,1,1,8
1,1,2,2,6
2,2,2,2,4
1,2,2,2,3
2,3,2,2,8
1,2,1,2,8
1,2,1,2,4
1,1,1,2,8
1,3,1,2,4
1,3,1,2,4
1,3,1,2,3
1,2,2,1,8
1,3,1,2,3
1,3,1,2,4
1,1,2,2,3
1,2,2,2,8
1,3,1,2,8
1,2,2,2,4
1,3,1,2,2
1,3,1,2,2
1,3,1,2,4
1,3,1,2,8
1,2,2,1,8
1,2,1,2,8
1,3,1,2,2
1,3,1,2,2
1,3,1,2,2
1,2,2,2,3
2,1,2,2,2
1,2,2,2,8
1,1,1,2,4
1,2,2,2,4
1,2,1,2,2
1,1,1,2,3
1,2,2,2,3
1,3,1,2,3
1,3,2,2,3
1,3,1,2,8
1,3,1,2,3
1,1,1,2,8
1,3,1,2,3
1,3,2,2,4
1,3,1,2,2
1,3,1,2,8
2,2,2,2,3
1,3,1,2,8
1,2,2,2,3
1,2,1,2,3
1,2,2,2,8
1,3,1,2,3
1,3,1,2,2
1,3,1,2,4
1,2,2,2,8
1,3,1,2,3
1,3,2,2,8
1,2,1,2,2
1,2,1,2,8
1,2,2,2,3
1,1,1,2,3
1,3,1,2,8
2,3,2,2,5
1,2,2,2,4
1,2,1,2,3
1,3,1,2,2
1,2,1,2,3
2,2,2,2,8
1,3,1,2,2
1,3,2,2,3
1,3,1,2,4
2,2,2,2,5
2,3,2,2,4
1,3,1,2,3
1,2,2,2,8
1,2,2,2,3
1,2,2,2,3
1,2,2,2,3
1,2,2,2,2
2,3,1,2,4
1,3,1,2,3
1,3,1,2,2
1,2,2,2,8
1,3,2,2,3
1,2,2,2,4
1,2,2,2,3
1,3,2,2,2
2,3,2,2,4
1,3,1,2,4
1,3,1,2,2
1,3,1,2,4
1,2,2,2,8
1,1,2,2,2
1,2,2,2,3
1,2,2,2,4
1,1,1,2,3
1,1,1,2,3
1,2,2,2,8
1,2,2,2,3
2,3,2,2,4
2,3,1,2,2
1,3,1,2,3
1,3,1,2,2
1,3,1,2,2
1,2,2,2,8
2,2,2,2,4
1,2,1,2,8
1,2,1,2,4
1,2,1,2,8
1,2,1,1,8
1,3,2,2,8
2,3,2,2,4
1,2,1,2,2
1,2,1,2,2
1,2,1,2,2
1,2,1,1,8
1,3,1,2,2
1,2,1,1,8
1,3,2,2,4
1,1,1,2,2
1,3,1,2,2
1,2,1,1,8
2,3,1,2,3
1,3,1,2,2
1,2,1,2,4
2,3,2,2,4
1,3,1,2,2
1,2,1,1,8
1,3,1,2,3
1,3,1,2,2
1,3,1,2,4
1,3,1,2,3
1,3,1,2,4
2,2,2,2,4
1,3,1,2,4
1,2,1,1,8
2,2,1,2,3
1,2,1,2,4
1,2,1,2,2
1,2,1,2,2
1,3,1,2,2
1,3,1,2,2
1,2,1,2,4
2,2,2,2,4
1,3,1,2,4
1,2,2,2,4
1,3,1,2,3
1,3,1,2,8
1,3,1,2,3
1,2,1,2,2
1,3,1,2,2
1,3,1,2,4
1,2,1,1,8
1,3,1,2,3
1,1,2,2,8
1,1,1,2,8
1,3,2,2,4
1,1,1,2,8
1,2,1,2,3
1,2,1,2,4
2,3,1,2,4
2,3,2,2,4
1,3,1,1,8
1,2,1,2,4
1,3,1,2,3
1,3,1,2,4
1,3,1,2,8
1,2,1,1,8
1,2,1,2,2
1,3,2,2,5
1,3,1,2,4
1,3,1,2,8
1,1,1,2,8
1,1,2,2,4
1,2,2,2,4
1,2,1,1,8
2,2,1,2,3
1,3,1,2,3
1,3,1,2,4
1,2,1,1,8
1,2,1,2,8
1,3,2,2,5
1,3,1,2,4
1,3,1,2,3
2,2,1,2,8
1,3,2,2,4
1,2,2,2,3
1,2,1,1,8
1,3,1,2,3
1,3,2,2,4
1,3,1,2,3
1,3,1,2,8
1,2,2,1,8
1,2,1,1,8
1,1,2,2,4
1,3,1,2,4
1,3,1,2,8
1,3,2,2,3
1,3,2,2,4
1,2,1,1,8
1,2,1,2,2
2,3,2,2,5
1,3,1,2,4
1,3,2,1,8
1,2,1,2,4
1,3,1,2,4
1,3,1,2,2
1,3,2,2,4
1,2,1,2,8
1,3,2,2,4
1,3,1,2,3
1,2,2,2,4
1,3,1,1,8
1,3,1,2,4
2,2,2,2,5
2,3,1,2,4
1,2,1,2,2
1,3,2,1,8
1,3,2,2,4
1,2,1,2,3
1,1,2,2,4
1,2,1,2,8
1,1,2,2,4
1,2,1,2,3
1,2,2,2,2
1,3,1,1,8
1,2,1,2,3
2,2,2,2,5
1,3,2,2,5
1,3,2,1,8
2,3,2,2,4
1,3,1,2,3
1,2,2,2,4
1,2,1,2,8
1,3,2,2,4
1,2,1,1,8
1,1,1,2,3
1,2,2,2,5
2,2,2,2,5
1,2,2,1,8
2,2,2,2,4
1,2,2,2,5
1,2,1,1,8
1,3,1,2,8
1,3,2,2,4
1,3,1,1,8
2,3,2,2,5
1,2,2,2,5
1,2,2,2,3
1,2,2,2,4
1,3,2,2,5
1,3,1,1,8
1,3,1,2,4
1,3,1,1,8
1,3,2,1,8
1,3,2,2,4
1,2,1,1,8
1,2,2,2,8
1,2,2,2,6
1,3,2,2,3
1,2,2,2,3
1,3,2,2,5
1,2,1,1,8
2,3,2,2,4
1,2,2,1,8
1,3,1,2,2
1,1,2,2,4
1,2,1,1,8
2,2,2,2,6
1,2,2,2,3
2,3,2,2,5
1,3,1,1,8
1,2,2,2,3
1,2,2,1,8
1,3,1,2,4
1,3,1,2,3
1,2,1,1,8
2,2,2,2,6
1,2,2,2,3
1,3,2,2,8
1,3,2,2,5
2,2,1,1,8
2,3,2,2,3
1,2,2,1,8
1,3,2,2,4
1,3,1,2,3
1,2,1,1,8
1,1,2,2,6
1,1,2,2,8
2,3,2,2,8
2,2,2,2,5
1,3,1,1,8
1,2,2,2,4
1,2,2,1,8
1,2,2,2,4
1,1,1,2,8
1,2,1,2,2
1,2,2,1,8
1,2,2,2,8
2,2,2,2,5
2,2,1,2,3
1,1,2,2,3
1,2,2,1,8
1,3,1,2,2
1,3,1,1,8
1,2,2,2,8
2,2,2,2,4
1,2,1,2,8
1,2,2,2,2
1,2,2,1,8
1,3,1,2,3
2,3,2,2,4
1,3,1,2,4
1,3,1,2,4
1,2,1,2,3
1,2,2,2,8
1,2,2,2,4
1,2,1,2,8
1,2,2,1,8
1,3,2,2,3
1,3,1,2,3
1,2,1,2,8
1,3,1,2,3
1,2,2,2,8
1,3,2,2,4
1,2,1,2,8
1,3,2,1,8
1,3,1,2,2
1,2,2,2,3
1,2,1,2,3
1,3,1,2,3
1,1,1,2,3
1,3,1,2,2
1,2,1,2,3
1,3,2,2,4
1,2,1,2,8
1,3,2,1,8
1,3,1,2,3
1,3,2,2,3
1,3,1,2,8
1,2,1,2,3
1,3,1,2,4
2,3,1,2,8
1,3,1,2,8
1,2,2,2,4
1,2,1,2,8
1,2,2,1,8
1,3,1,2,4
2,2,2,2,4
2,2,1,2,6
1,2,1,2,8
1,2,1,2,3
1,2,1,2,8
1,2,1,2,8
1,3,2,2,4
2,2,2,2,4
2,2,2,2,4
1,2,1,2,6
1,3,1,2,3
1,3,1,2,4
1,2,1,2,3
1,2,1,2,8
1,3,1,1,8
1,3,1,2,4
1,1,2,2,4
1,2,2,2,3
1,3,1,2,3
2,2,2,2,2
1,3,1,2,8
1,3,1,2,2
1,3,1,2,3
2,1,2,2,8
1,2,2,2,3
1,2,1,2,8
1,2,2,2,2
1,2,1,2,3
1,3,1,2,2
1,3,1,2,4
1,2,1,2,3
1,3,1,2,2
2,2,2,2,3
1,3,1,2,3
1,2,2,2,3
1,3,1,2,3
1,2,1,2,4
1,3,1,2,5
1,3,1,2,8
1,3,1,2,3
1,1,2,2,8
1,2,1,2,4
2,3,2,2,3
1,3,1,2,3
1,2,2,2,4
1,3,2,2,6
1,2,1,2,4
1,3,1,2,3
1,3,1,2,4
1,3,1,2,5
1,2,2,2,8
1,2,1,2,3
1,1,1,2,8
1,3,2,2,3
1,3,2,2,6
1,2,2,2,4
2,3,2,2,4
2,3,1,2,4
1,3,1,1,8
1,2,1,2,3
1,2,1,2,8
1,1,2,2,8
2,2,2,2,6
1,2,2,2,2
1,2,2,2,4
2,3,2,2,5
1,2,1,2,2
1,3,2,2,3
1,3,1,2,2
1,2,1,2,8
1,3,2,2,8
1,2,2,2,6
1,1,2,2,8
1,3,2,2,4
2,3,2,2,5
1,2,2,2,6
1,3,1,2,2
1,2,1,2,8
1,2,2,2,2
1,2,2,2,4
1,2,2,2,6
2,2,2,2,5
1,3,1,2,2
1,2,2,1,8
1,2,1,2,8
1,1,2,2,2
2,2,2,2,4
2,2,2,2,5
1,3,2,2,6
1,3,1,2,3
1,3,2,2,3
1,1,2,2,8
1,1,2,2,2
1,2,2,2,6
2,3,2,2,4
1,2,1,2,3
1,3,2,2,8
1,2,1,2,8
1,3,1,2,2
1,3,1,1,8
1,3,2,2,8
2,3,2,2,6
1,3,2,2,5
1,2,2,2,8
1,2,1,2,8
1,3,1,1,8
1,3,2,2,8
2,3,2,2,6
1,3,2,2,5
1,3,2,2,8
1,3,1,2,8
1,3,1,1,8
1,3,1,2,2
2,2,2,2,6
2,2,2,2,5
1,2,2,2,8
1,2,1,2,8
1,3,1,2,3
1,2,2,2,6
2,2,2,2,5
1,3,2,2,8
1,3,1,2,8
1,3,1,2,4
1,2,2,2,6
1,2,2,2,5
1,3,2,2,8
1,3,2,2,4
1,2,1,2,3
1,3,1,2,2
2,2,2,2,6
1,3,2,2,8
1,3,2,2,4
1,3,1,2,2
1,2,1,2,2
1,2,1,2,2
1,3,1,2,2
1,1,2,2,5
1,3,2,2,4
1,3,1,2,8
1,3,1,2,3
1,3,1,2,2
1,2,2,1,8
2,2,2,2,8
1,3,1,2,3
1,3,2,2,4
1,2,1,2,8
1,2,1,2,2
1,2,1,2,3
1,2,2,1,8
1,3,1,2,2
1,2,1,1,8
1,2,1,2,8
1,2,2,2,3
1,3,1,2,2
1,3,1,2,2
1,3,1,2,2
1,3,2,1,8
1,3,1,2,3
1,3,1,2,3
1,3,1,2,8
1,3,2,2,5
1,3,1,2,2
1,2,2,1,8
1,2,1,2,3
1,3,1,2,8
1,2,2,2,3
1,3,1,2,3
1,2,2,1,8
1,1,1,2,8
1,1,1,2,8
1,3,1,2,3
1,3,2,1,8
1,2,1,2,2
1,2,1,2,8
2,2,2,2,2
1,2,1,2,3
1,3,2,2,3
2,2,1,2,2
1,2,1,2,8
1,2,1,2,8
1,3,1,2,3
1,3,1,2,2
2,2,1,2,3
1,2,2,2,8
1,1,1,2,2
1,2,1,2,8
1,3,1,2,2
1,2,1,2,8
1,2,1,2,3
1,2,2,2,8
1,3,1,2,8
1,1,1,2,2
1,1,1,2,8
1,2,1,2,8
1,3,1,2,3
1,3,2,2,8
1,2,1,2,8
1,3,1,2,2
1,2,1,2,8
1,2,1,2,3
1,1,2,2,2
1,2,1,2,8
2,2,1,2,3
1,3,1,2,2
1,2,1,2,3
1,2,2,2,2
1,3,1,2,8
2,3,1,2,3
2,3,1,2,2
1,3,1,2,3
1,2,1,2,2
1,3,1,1,8
1,3,1,1,8
1,3,1,1,8
1,2,1,1,8
1,2,1,1,8
1,3,1,2,8
1,3,2,2,4
1,2,1,2,8
1,2,1,2,4
1,3,1,2,4
1,3,1,2,3
1,2,1,1,8
1,2,1,1,8
1,3,1,2,3
1,3,1,2,2
1,2,1,1,8
1,3,1,2,8
1,3,2,2,4
1,2,1,2,8
1,3,1,2,4
1,3,2,2,4
1,3,1,2,3
1,2,1,1,8
1,2,1,1,8
1,2,1,2,8
1,3,1,1,8
1,3,2,2,4
1,2,1,2,8
2,2,1,2,3
2,2,2,2,4
1,2,1,2,3
1,3,1,1,8
1,3,1,1,8
1,3,1,2,3
1,3,1,2,6
1,2,2,2,5
1,2,1,2,8
1,2,1,2,4
2,2,2,2,3
1,1,1,2,8
1,1,1,2,4
1,3,1,2,3
2,3,1,2,4
1,3,2,2,3
1,2,2,1,8
1,2,1,2,8
1,2,1,2,3
1,1,2,2,8
1,3,1,2,3
1,3,1,2,3
2,3,2,2,4
1,3,2,2,5
1,2,2,1,8
1,3,1,2,3
1,3,1,2,8
1,2,1,2,3
1,3,2,2,8
1,2,1,2,3
1,2,1,2,3
2,3,2,2,4
1,2,2,2,5
1,3,2,1,8
1,3,1,2,3
1,3,1,2,2
1,2,1,2,2
1,2,1,2,8
1,1,1,2,8
1,2,2,2,8
1,1,1,2,8
1,2,1,2,8
2,2,2,2,4
2,3,2,2,4
1,2,2,1,8
1,2,1,2,3
1,3,1,2,4
1,3,1,2,4
1,2,2,2,8
1,2,1,2,8
1,1,1,2,8
1,2,2,2,4
1,2,2,2,4
1,2,2,1,8
1,3,1,2,4
2,3,1,2,5
1,3,1,2,2
1,3,2,2,8
1,2,1,2,8
1,2,1,2,8
2,2,2,2,4
1,2,2,2,3
1,3,2,1,8
1,3,1,2,2
1,3,1,2,4
2,2,1,2,3
1,3,1,2,4
1,2,2,2,8
1,2,1,2,8
1,3,1,2,8
2,2,2,2,4
1,2,2,2,3
1,3,2,1,8
1,1,1,2,2
1,3,2,2,4
1,2,1,2,3
1,3,1,2,4
1,2,2,2,8
1,2,1,2,8
1,2,2,2,5
1,1,2,2,3
1,3,2,1,8
1,2,1,2,8
2,2,2,2,5
1,3,1,2,4
1,3,1,2,4
1,3,1,2,5
1,3,1,2,4
1,2,1,2,8
2,2,2,2,3
1,3,2,2,3
1,2,2,1,8
1,3,1,2,8
1,2,2,2,5
1,3,2,2,4
1,3,2,2,4
1,3,2,2,5
1,3,2,2,4
1,3,1,2,8
1,3,1,1,8
1,2,2,2,3
1,2,2,2,3
1,3,2,1,8
2,2,2,2,4
1,2,2,2,2
1,2,2,2,5
1,3,2,2,4
1,3,1,2,8
1,3,1,1,8
1,1,2,2,8
1,3,2,1,8
1,2,2,2,4
1,2,2,2,6
2,3,2,2,5
1,3,1,2,4
1,3,1,2,3
1,2,1,2,8
1,3,1,2,2
1,2,2,1,8
1,2,2,2,4
2,2,2,2,5
1,3,2,2,6
2,3,2,2,4
1,2,1,2,3
1,3,1,2,8
1,3,1,2,4
1,3,1,2,4
1,2,1,1,8
1,3,1,2,2
1,2,2,1,8
1,1,2,2,4
2,3,2,2,5
1,2,2,2,6
2,3,2,2,5
1,2,1,2,3
1,3,1,2,2
1,3,2,2,4
1,3,1,2,3
1,3,1,1,8
1,2,1,2,3
1,2,2,1,8
2,2,2,2,8
2,2,2,2,5
1,3,2,2,5
2,2,2,2,5
1,2,1,2,2
1,3,2,2,5
1,3,1,2,4
1,2,1,1,8
1,3,1,2,3
1,3,2,2,8
2,2,2,2,5
1,2,2,2,5
1,2,1,2,8
2,2,2,2,5
1,3,2,2,4
1,2,1,1,8
1,3,1,2,8
1,3,1,2,4
1,2,1,1,8
2,2,2,2,5
2,2,2,2,6
1,3,1,2,4
1,3,1,2,8
1,3,2,2,4
1,2,2,2,4
1,3,1,1,8
1,2,1,2,4
1,2,1,1,8
1,3,1,2,3
1,2,2,1,8
2,3,2,2,5
2,2,2,2,6
1,2,2,2,3
1,2,2,2,4
1,2,1,1,8
1,3,1,2,2
1,3,1,1,8
1,3,1,2,4
1,3,2,2,4
1,3,1,2,4
2,2,2,2,5
1,2,2,2,6
1,2,2,2,3
1,1,2,2,4
1,2,1,1,8
1,2,1,1,8
1,2,1,2,4
1,3,2,2,4
1,3,1,2,4
1,1,2,2,8
1,3,2,2,6
1,3,1,1,8
1,2,1,2,2
1,2,2,2,4
1,3,1,2,4
2,3,1,2,4
1,2,1,1,8
1,3,1,2,3
1,2,1,2,3
1,2,2,2,4
1,2,1,2,3
1,2,2,2,5
1,2,1,1,8
1,3,1,2,3
1,2,1,2,8
1,3,2,2,4
1,1,1,2,2
1,2,2,2,5
1,3,1,1,8
1,3,1,1,8
1,2,1,2,8
1,2,1,2,8
1,3,2,2,4
2,2,2,2,5
1,3,1,2,4
1,1,1,1,8
1,2,1,2,8
1,2,1,2,8
1,2,2,2,4
1,2,2,2,8
2,2,1,2,8
1,3,1,2,4
1,2,1,1,8
2,2,1,2,8
1,2,2,2,3
1,2,1,2,8
1,1,1,2,2
